,,,,,
,Tabla 1,,,,
,25.04.2015,"Bologna, Italia",Chiesa dei Santi Cosa e Damiano,"Roberta Leah Diamond-Soprano, Pedro Alcàcer- Vihuela, chitarra spagnola e tiorba",Alla Voce le Sue Corde
,24.04.2015,"Bologna, Italia",Chiesa di San Valentino della Grada,"Roberta Leah Diamond-Soprano, Pedro Alcàcer- Vihuela, chitarra spagnola e tiorba",Alla Voce le Sue Corde
,18.04.2015,"Pesaro, Italia",Chiesa Santa Maria Maddalena,"Roberta Leah Diamond-Soprano, Pedro Alcàcer- Vihuela, guitarra y tiorba",Alla Voce le Sue Corde
,11.04.2015,"Bologna, Italia",Clavicembalo di Gioseffo Maria Goccini,Ensemble  San Colombano,Saggio classe Gloria Banditelli
,20.11.2014,"Trento, Italia",Chiesa di Santa Maria Maggiore,Coro & orchestra della cappella Musicale di S. Petronio,Vespri Policorali per la festa de San Petronio
,20.11.2014,"Tolino, Italia",Teatro Regio,Orchestra e Coro del Teatro Regio,Giulo Cesare in Egitto/ Händel
,25.10.2014,"Napoli, Italia",Palazzo zevallos di Stigliano,Cantar Lontano,La voce dei Quadri  di Gratitudine
,03.10.2014,"Bologna, Italia",Basilica di San Petronio,Cappella Musicale di San Petronio. Dir. Michele Vannelli,Concerto per la solennità di San Petronio
,16.09.2014,"Londres, Inglaterra",St Jame’s Roman Catholic Church,Coro Cervantes/ Carlos Aransay,Music form Toledo in the age of Greco
,28.07.2014,"Urbino, Italia",Palazzo Dulcale,Gruppo Strumentale del Festival di Urbino,Specttacolo di Danza Rinascimentale. Dir. Lieven Baert
,26.07.2014,"Urbino, Italia",Salone Raffaello,Ensemble Corso Urbino,Concerto Grosso OP.6
,20.06.2014,"Milan, Italia",Convento Abiategrasso,Solo,Una storia tra le corde/Festa de la musica
,18.06.2014,"Milan, Italia",Convento Dell’Annunciata,Academia Musicale dell’Annunciata,"Concerti grossi, Corelli"
,07.04.2014,"Milan, Italia",Antica Chiesa di S. Apollinare,Oltre l’Orizzonte,Seicento Italiano
,23.10.2013,"Ciudad de México, México ",Templo de la compañía ,Capella Barroca de México,La pasión según San Juan Johann Sebastian Bach
,03.10.2013,"Bologna, Italia",Basilica di San Petronio,Cappella Musicale di San Petronio. Dir. Michele Vannelli,Concerto per la solennità di San Petronio
,26.09.2013,"Milan, Italia",Convento Dell’Annunciata,"Maria Calvo, Maestro Riccardo Doni e Giovanni Battista Carvelli, Pedro Alcàcer ",Concerto di Fine Masterclass allievi del Maestro Enrico Onofri
,20.08.2013,"Pesaro, Italia",Libreria II Catalogo ,"Pedro Alcàcer, Perikli Pite, Alessandro Marzocchi.",Sonate a tre bassi
,21.06.2013,"Ancona, Italia",Mole Vanvitelliana,Canalgrande,Soave sia il vento
,23.04.2013,"Pesaro, Italia",Conservatorio Statale di Musica “G. Rossini”,Saggio di classe. Prof.ssa Evangelina Mascardi,Duo con Jacopo Sabina
,13.04.2013,"Ciudad de México, México ",Palacio de Bellas Artes,Capella Barroca de México. Dir. Horacio Franco,La pasión según San Juan Johann Sebastian Bach
,07.04.2013,"Guanajuato, Mexico",Casa Museo Gene Byron,Solo,Música del renacimiento y Barroco temprano
,21.03.2013,"Sardegna, Italia",Chiesa monumentale di Santa Chiara,Rosantico,Sonna Leggiadra
,21.02.2013,"Milan, Italia",Cine Teatro “Don Bosco”,Academia Musicale dell’Annunciata,XVIII° Stagione Concertistica
,25.05.2012,"Bremen, Alemania",Kirche Simon-Petrus Habenhauser ,"Jorge MArtinez, Hugo de Rodas, Pedro Alcàcer","Romances, Tonadas y Bailes"
,15.04.2012,"Bremen, Alemania",Tañer de Gala,Solo,Musikalische Kostbarkeiten der Renaissance
,15.04.2012,"Bremen, Alemania",Waller kirche,Solo,Tañer de Gala
,01.11.2011,Bremen,,"Anja, Pedro, Josh",Ars Antiqua
,26.10.2010,"Bremen, Alemania",Urlaub Fehrfeld,Solo,Experimental Musik des XVI Jahrhunderts
,01.08.2010,"Bremen, Alemania",Laurentiuskapelle Walldorf,Anja Engelberg/Pedro Alcàcer ,Die Fabelhafte Welt der Spanischen Renaissance & Französischen Barock-Musik
,05.06.2010,"Barcelona, España ",Aka,Solo,De Iberia a Bretaña
,27.02.2010,"Hildesheim, Alemania",St. Lamberti-Kirche,Anja Engelberg/Pedro Alcàcer ,La vita Fugge
,10.12.2007,"Girona, España",Conservatori de música Isaac Albéniz,Aula de Musica Antiga,
,09.12.2007,"Girona, España",Aula Magna,Giroscopi ,Luis de Milàn
,06.12.2007,"Valencia, España",Capilla de la Sapiencia,Solo,La didáctica de Milán
,06.09.2007,"Bremen, Alemania",Gerhard-Marcks-Haus,Pedro un Mitgefahrene,Von Deutschland nach Italien aber diesmal echt!
,04.06.2007,"Girona, España",Aula Magna de la Casa de Cultura,Pòdiums,Solo
,24.10.2005,"Guanajuato, Mexico",Templo del hospital,Solo,Vive la magia de la cultura
,,"Paris, Francia",Conservatoir 8te Rondamon,,Heinrich Schütz
